Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Annual_Heat_MWh,Confidence_Score,Manual_Verified_MW
Amazon AWS - 2250 Rockhouse Rd,georgia,33.74469000000001,-84.597578,50.0,1.22,https://aws.amazon.com/es/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/2250-rockhouse-rd/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - 7800 W Strickland St,georgia,33.7429835,-84.7813102,50.0,1.22,https://aws.amazon.com/es/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/7800-w-strickland-st/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - Legacy 75 Trade Center,georgia,33.16913210955222,-84.05541939870298,50.0,1.22,https://legacy75tradecenter.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/amazon-aws-legacy-75-trade-center/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - Rock House Road,georgia,33.7418811,-84.602074,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/amazon-aws-rock-house-road/,Hyperscale,P2,False,394200.0,1,
Form8tion LaGrange,georgia,32.984972,-85.055494,50.0,1.22,https://www.form8tion.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/columbus-ga/form8tion-lagrange/,Hyperscale,P3,False,394200.0,1,
Google Douglas County Campus,georgia,33.751151,-84.5859079,50.0,1.1,https://www.google.com/about/datacenters/locations/douglas-county/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/google-douglas-county/,Hyperscale,P2,False,394200.0,1,
Google Douglas County Data Center 1,georgia,33.749731,-84.58479969999999,50.0,1.22,https://www.google.com/about/datacenters/locations/douglas-county/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/google-douglas-county-data-center-1/,Hyperscale,P2,False,394200.0,1,
Google Douglas County Data Center 2,georgia,33.75208919114918,-84.58692635674332,50.0,1.22,https://www.google.com/about/datacenters/locations/douglas-county/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/google-douglas-county-data-center-2/,Hyperscale,P2,False,394200.0,1,
Google Rumble Road,georgia,32.98845087691415,-83.82991695833098,50.0,1.22,https://datacenters.google/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/macon/google-rumble-road/,Hyperscale,P2,False,394200.0,1,
Meta Stanton Springs Campus,georgia,33.6015196,-83.700981,50.0,1.22,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/meta-stanton-springs-data-center/,Hyperscale,P2,True,394200.0,1,
Microsoft Douglasville Campus,georgia,33.73168957638032,-84.62256828239784,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/microsoft-douglasville-campus/,Hyperscale,P2,True,394200.0,1,
Microsoft East Point (ATL06),georgia,33.639239,-84.517141,50.0,1.22,https://local.microsoft.com/es/blog/east-point-datacenter-project-overview/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/microsoft-east-point-atl06/,Hyperscale,P2,False,394200.0,1,
Microsoft East Point (ATL07),georgia,33.639917,-84.518458,50.0,1.22,https://local.microsoft.com/es/blog/east-point-datacenter-project-overview/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/microsoft-east-point-atl07/,Hyperscale,P2,False,394200.0,1,
Microsoft East Point Campus,georgia,33.641777,-84.517228,50.0,1.22,https://local.microsoft.com/es/blog/east-point-datacenter-project-overview/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/microsoft-east-point-campus/,Hyperscale,P2,False,394200.0,1,
Microsoft Palmetto,georgia,33.52280781579498,-84.62683235515048,50.0,1.22,https://local.microsoft.com/es/blog/palmetto-datacenter-construction-update/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/microsoft-palmetto/,Hyperscale,P2,False,394200.0,1,
