res_space_heating_kwh,res_space_cooling_kwh,res_heating_load_kwh,res_cooling_load_kwh,res_space_heating_mbtu,res_space_cooling_mbtu,fips,com_space_heating_kwh,com_space_cooling_kwh,com_space_heating_mbtu,com_space_cooling_mbtu,total_space_heating_kwh,total_space_heating_mbtu,total_space_cooling_kwh,total_space_cooling_mbtu
140634385.47230113,53333031.70881282,132843809.40426405,145708935.0063119,479864.4933142285,181979.87748097198,05015,17105152.315222662,13834146.481202615,58365.20863116848,47204.07224266366,157739537.78752378,538229.701945397,67167178.19001544,229183.94972363565
38067773.39667963,30191320.200261187,39449399.689151205,80934900.63149226,129892.64845329324,103017.0716907596,05017,2260795.7000675225,5597697.0065903645,7714.1559616197965,19100.13705946126,40328569.09674715,137606.80441491303,35789017.20685155,122117.20875022086
77676903.59792343,54255319.55877003,77794636.84738429,146980212.11051485,265044.62519642565,185126.8545899007,05019,16745537.07057135,10411004.027958766,57138.15035105347,35523.82410596728,94422440.66849478,322182.7755474791,64666323.5867288,220650.67869586797
97673455.29376417,39709682.7813307,88806671.1684298,91134992.29966083,333275.69909297506,135495.07642485527,05021,2691984.5587793374,2560972.2351300996,9185.433576362446,8738.400924321288,100365439.85254352,342461.13266933756,42270655.0164608,144233.47734917657
115270227.77056567,70259855.76740658,117532424.4880555,185022017.4575522,393318.3855255135,239736.60477791022,05023,5973423.48979569,5575488.790384744,20382.169173318445,19024.35947220098,121243651.26036136,413700.5546988319,75835344.55779132,258760.9642501112
47198188.93799258,19893870.26790444,46299890.846591726,52917698.91027386,161046.9227992599,67880.710283668,05025,154888.8993721527,286562.58937079285,528.5029188814958,977.7922468208359,47353077.83736473,161575.42571814137,20180432.857275236,68858.50253048884
97237112.44623114,65000679.07864158,93074018.08098075,165409224.0597155,331786.835336508,221791.54711275423,05027,3842272.2924886844,8553642.80348477,13110.378664636924,29186.24386276813,101079384.73871982,344897.2140011449,73554321.88212635,250977.79097552237
85678391.12469693,38978707.39144001,89600589.57433675,108680461.33932026,292346.8368490056,133000.8845960429,05029,20793322.731416002,19434888.513378978,70949.76981141926,66314.59936181798,106471713.85611293,363296.60666042485,58413595.90481899,199315.48395786088
533390634.44386137,194166677.33981824,499726221.092985,506862687.5074692,1820004.586192546,662524.274751642,05031,92259011.32612966,112166676.47027601,314800.8474243627,382728.6277846405,625649645.769991,2134805.4336169087,306333353.81009424,1045252.9025362825
258581923.25987345,135558857.3913448,242145681.49443585,356878386.92755276,882318.2407957911,462546.070777018,05033,18442720.131266996,18621815.147628404,62929.17995414163,63540.27758145908,277024643.39114046,945247.4207499328,154180672.53897318,526086.348358477
