Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
Netrality - 401 N Broad Philadelphia Data Center,pennsylvania,39.95956,-75.160838,40.0,1.22,,https://www.datacentermap.com/usa/pennsylvania/philadelphia/terminal-commerce-building/,Hyperscale,P1,False,5,315360.0
Flexential Phiadelphia - Collegeville Data Center,pennsylvania,40.1521924,-75.4777223,7.2,1.91,,https://www.datacentermap.com/usa/pennsylvania/philadelphia/flexential-philadelphia-collegeville/,Small,P1,False,5,56764.8
365 Data Centers - Philadelphia (University City),pennsylvania,39.9569045,-75.1960744,15.0,1.68,https://365datacenters.com/philadelphia-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/switchdata-philadelphia1/,Midsize/Colo,P3,False,1,118260.0
Colocation America PHILLYDC2,pennsylvania,40.1218859,-75.4208343,15.0,1.68,https://www.colocationamerica.com/data-center-locations/philadelphia?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/colocation-america-600-s-federal/,Midsize/Colo,P3,False,1,118260.0
Keystone NAP,pennsylvania,40.1535174,-74.7426452,2.0,1.91,http://www.keystonenap.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/keystone-nap-1/,Small,P1,False,5,15768.0
H5 Data Centers Philadelphia,pennsylvania,39.9623477,-75.1639321,15.0,1.68,https://h5datacenters.com/philadelphia-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/h5-philadelphia/,Midsize/Colo,P3,False,1,118260.0
365 Data Centers - Philadelphia (Downtown),pennsylvania,39.9623509,-75.1637363,10.0,1.68,https://365datacenters.com/philadelphia-data-center-2/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/365-data-centers-philadelphia/,Midsize/Colo,P1,False,5,78840.0
TrueNet,pennsylvania,39.94657855735757,-75.57975769042969,15.0,1.68,https://www.truenet.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/truenet/,Midsize/Colo,P3,False,1,118260.0
11:11 Systems Philadelphia,pennsylvania,39.9596208,-75.16102049999999,1.0,1.91,https://www.sungardas.com/fr-fr/facilities/north-america/usa/philadelphia-401-data-centre-and-workplace-recovery-centre/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/1111-systems-philadelphia/,Small,P4,False,1,7884.0
Comcast Moorestown,pennsylvania,39.9893611,-74.88954009999999,1.0,1.91,https://business.comcast.com/enterprise/products-services/data-networking?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/comcast-moorestown/,Small,P4,False,1,7884.0
DaSTOR King of Prussia II,pennsylvania,40.0880512,-75.33907239999999,1.0,1.91,https://dastorllc.com/3400-horizon-drive-king-of-prussia-pennsylvania/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/agile-prussia-philadelphia/,Small,P4,False,1,7884.0
Crown Castle Philadelphia (PA1),pennsylvania,39.9598126,-75.1608872,5.0,1.91,https://www.crowncastle.com/infrastructure-solutions/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/crown-castle-philadelphia2/,Small,P1,False,5,39420.0
DaSTOR King of Prussia I,pennsylvania,40.0755149,-75.3330189,1.0,1.91,https://dastorllc.com/411-swedeland-road-king-of-prussia-pennsylvania/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/dastor-king-of-prussia/,Small,P4,False,1,7884.0
Crown Castle Philadelphia (PA2),pennsylvania,39.9605975,-75.1604395,1.0,1.91,https://www.crowncastle.com/infrastructure-solutions/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/crown-castle-philadelphia1/,Small,P1,False,5,7884.0
Unisecure Philadelphia DC,pennsylvania,39.9503525,-75.1800289,1.0,1.91,https://www.unisecure.com/philadelphia-dc-facility/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/unisecure-philadelphia-dc/,Small,P4,False,1,7884.0
Colocation America PHILLYDC3,pennsylvania,40.6749288,-75.3781221,15.0,1.68,https://www.colocationamerica.com/data-center-locations/philadelphia?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/colocation-america-phillydc3/,Midsize/Colo,P3,False,1,118260.0
Windstream New York,pennsylvania,39.959887,-75.1608556,1.0,1.91,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/401-n-broad-st/,Small,P4,False,1,7884.0
1500 Spring Garden Street,pennsylvania,39.9626155,-75.1643636,1.0,1.91,https://www.1500sg.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/1500-spring-garden-street/,Small,P4,False,1,7884.0
1547 Chester County PA,pennsylvania,40.03706225700031,-75.58937363781276,450.0,1.22,https://www.1547realty.com/data-center/chester-county-pa/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/1547-chester-county-pa/,Hyperscale,P1,False,5,3547800.0
Digital Edge Philly,pennsylvania,39.9598387,-75.1608381,1.0,1.91,https://www.digitaledge.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/de-philly/,Small,P4,False,1,7884.0
ColoHouse Philadelphia,pennsylvania,39.9503063,-75.1799827,1.0,1.91,https://colohouse.com/philadelphia/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/colohouse-philadelphia/,Small,P1,False,5,7884.0
Comcast West Chester,pennsylvania,39.9986964,-75.57366309999999,1.0,1.91,https://business.comcast.com/enterprise/products-services/data-networking?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/comcast-west-chester/,Small,P4,False,1,7884.0
Colocation America PHILLYDC1,pennsylvania,40.5437738,-75.65453149999999,15.0,1.68,https://www.colocationamerica.com/data-center-locations/philadelphia?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/colocation-america-phillydc1/,Midsize/Colo,P3,False,1,118260.0
York  Energy Center DC,pennsylvania,39.738594,-76.305066,1.0,1.91,https://www.calpine.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/york-energy-center-dc/,Small,P4,False,1,7884.0
Keystone Trade Center,pennsylvania,40.14962636371349,-74.74974999967482,1.0,1.91,https://www.keystone-trade.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/keystone-trade-center/,Small,P4,False,1,7884.0
Pennhurst Data Center Campus,pennsylvania,40.1940773,-75.5612281,1.0,1.91,,https://www.datacentermap.com/usa/pennsylvania/philadelphia/pennhurst-data-center-campus/,Small,P4,False,1,7884.0
LightWave Networks,pennsylvania,39.9596414,-75.1610312,15.0,1.68,https://www.lightwavenetworks.com/our-services/dedicated-servers/philadelphia/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/philadelphia/lightwave-networks/,Midsize/Colo,P3,False,1,118260.0
Project Laurel - Building 8,pennsylvania,40.232941,-75.56828,1.0,1.91,,https://www.datacentermap.com/usa/pennsylvania/philadelphia/project-laurel-building-h/,Small,P4,False,1,7884.0
Project Laurel - Building 5,pennsylvania,40.234369,-75.577082,1.0,1.91,,https://www.datacentermap.com/usa/pennsylvania/philadelphia/project-laurel-building-e/,Small,P4,False,1,7884.0
Project Laurel - Building 3,pennsylvania,40.23205,-75.579277,1.0,1.91,,https://www.datacentermap.com/usa/pennsylvania/philadelphia/project-laurel-building-c/,Small,P4,False,1,7884.0
Project Laurel Campus,pennsylvania,40.231418,-75.575488,1.0,1.91,,https://www.datacentermap.com/usa/pennsylvania/philadelphia/project-laurel-campus/,Small,P4,False,1,7884.0
Project Laurel - Building 7,pennsylvania,40.232996,-75.574776,1.0,1.91,,https://www.datacentermap.com/usa/pennsylvania/philadelphia/project-laurel-building-g/,Small,P4,False,1,7884.0
Project Laurel - Building 4,pennsylvania,40.231484,-75.577995,1.0,1.91,,https://www.datacentermap.com/usa/pennsylvania/philadelphia/project-laurel-building-d/,Small,P4,False,1,7884.0
Project Laurel - Building 1,pennsylvania,40.232134,-75.582178,1.0,1.91,,https://www.datacentermap.com/usa/pennsylvania/philadelphia/project-laurel-building-a/,Small,P4,False,1,7884.0
Project Laurel - Building 6,pennsylvania,40.233467,-75.575689,1.0,1.91,,https://www.datacentermap.com/usa/pennsylvania/philadelphia/project-laurel-building-f/,Small,P4,False,1,7884.0
Project Laurel - Building 2,pennsylvania,40.230606,-75.580469,1.0,1.91,,https://www.datacentermap.com/usa/pennsylvania/philadelphia/project-laurel-building-b/,Small,P4,False,1,7884.0
Wildcat Ridge AI Data Center Campus,pennsylvania,41.4992705504684,-75.58517928386553,1.0,1.91,,https://www.datacentermap.com/usa/pennsylvania/allentown/wildcat-ridge-ai-data-center-campus/,Small,P4,False,1,7884.0
Cetronia Road Data Center,pennsylvania,40.55165,-75.59867580000001,1.0,1.91,https://www.airproducts.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/allentown/cetronia-road-data-center/,Small,P4,False,1,7884.0
Project Hazelnut,pennsylvania,40.94884417268824,-76.04377091926054,1.0,1.91,https://www.beyondthecontract.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/allentown/project-hazelnut/,Small,P4,False,1,7884.0
Bitfarms Panther Creek,pennsylvania,40.8561775,-75.8772484,80.0,1.22,https://bitfarms.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/allentown/bitfarms-panther-creek/,Hyperscale,P1,False,5,630720.0
Contegix Wyomissing,pennsylvania,40.355377,-75.984699,2.0,1.91,https://www.contegix.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/reading/dss-data-center/,Small,P1,False,5,15768.0
Direct LTx Data Center,pennsylvania,40.3813197,-75.9820247,6.0,1.91,https://www.directltx.com/facility-information?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/reading/directlink-technologies/,Small,P1,False,5,47304.0
DaSTOR Reading BCC,pennsylvania,40.3809603,-75.9822741,1.0,1.91,https://dastorllc.com/2561-bernville-rd-reading-pennsylvania/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/reading/ipr-reading-bcc/,Small,P4,False,1,7884.0
Omega Systems Reading,pennsylvania,40.3412333,-76.0053744,1.0,1.91,https://omegasystemscorp.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/reading/omega-systems-reading/,Small,P4,False,1,7884.0
Alerify Data Center,pennsylvania,40.3175212,-76.8547797,15.0,1.68,https://www.alerify.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/harrisburg/netrepid/,Midsize/Colo,P3,False,1,118260.0
Pennsylvania Digital 1 Campus,pennsylvania,40.25273596079513,-77.11658756635103,1500.0,1.22,https://www.padatacenters.com/campus?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/harrisburg/pennsylvania-digital-1-campus/,Hyperscale,P1,False,5,11826000.0
"Harrisburg I, LLC",pennsylvania,40.22804663932868,-76.80991109818449,1.0,1.91,,https://www.datacentermap.com/usa/pennsylvania/harrisburg/harrisburg-i-llc/,Small,P4,False,1,7884.0
Loop Internet DC2,pennsylvania,41.2213752,-75.8944717,1.0,1.91,https://loopinternet.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/wilkes-barre/loopinternet-dc2/,Small,P4,False,1,7884.0
1375 Harrisburg Pike,pennsylvania,40.0594582,-76.3299246,1.0,1.91,https://machineinv.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/lancaster/1375-harrisburg-pike/,Small,P4,False,1,7884.0
Archbald Data & Energy Center,pennsylvania,41.51225842300114,-75.556084663847,1.0,1.91,,https://www.datacentermap.com/usa/pennsylvania/scranton/archbald-data-energy-center/,Small,P4,False,1,7884.0
Popca LLC,pennsylvania,41.44722631647892,-75.71166614974582,1.0,1.91,,https://www.datacentermap.com/usa/pennsylvania/scranton/popca-llc/,Small,P4,False,1,7884.0
Gouldsboro Data Center Campus,pennsylvania,41.24724396339624,-75.51496616514993,50.0,1.22,https://ne-edgedatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/scranton/gouldsboro-data-center-campus/,Hyperscale,P3,False,1,394200.0
