fips,dc_count,total_it_load_mw,total_recoverable_kwh,total_heat_delivered_kwh,total_cooling_delivered_kwh,dc_count_hyperscale,it_load_mw_hyperscale,dc_count_ai_specialized,it_load_mw_ai_specialized,dc_count_midsize_colo,it_load_mw_midsize_colo,dc_count_small,it_load_mw_small,aggregated_count,original_it_load_mw,total_space_heating_kwh,total_space_heating_mbtu,total_space_cooling_kwh,total_space_cooling_mbtu,heating_coverage_ratio,cooling_coverage_ratio,heating_coverage_pct,cooling_coverage_pct,heating_demand_mw,cooling_demand_mw,heat_delivered_mw,cooling_delivered_mw,county_name,state_abbr,county_label
06045,1,15.0,80416800.0,241250400.0,56291760.0,0,0.0,0,0.0,1,15.0,0,0.0,0,0.0,278408663.9913024,949969.8955686104,66510122.28746411,226941.98168219236,0.8665333777383335,0.8463638024404884,86.65333777383336,84.63638024404884,31.78181095791123,7.592479713180834,27.54,6.426,Mendocino County,CA,"Mendocino County, CA"
06053,1,15.0,80416800.0,241250400.0,56291760.0,0,0.0,0,0.0,1,15.0,0,0.0,0,0.0,1077758501.8313918,3677465.0499559687,158013655.15843236,539165.0293396037,0.22384458075724095,0.35624617343076503,22.384458075724094,35.6246173430765,123.03179244650592,18.03808848840552,27.54,6.426,Monterey County,CA,"Monterey County, CA"
06059,17,135.45,767266938.0,2301800814.0,537086856.5999999,0,0.0,0,0.0,6,93.0,11,42.45,0,72.45,3760561241.0192175,12831568.954053797,4967665037.901925,16950378.51775675,0.6120897032316771,0.1081165602958682,61.20897032316771,10.811656029586821,429.28781290173714,567.0850499888043,262.76265,61.31128499999999,Orange County,CA,"Orange County, CA"
06061,1,8.0,57395519.99999999,172186559.99999997,40176863.99999999,0,0.0,0,0.0,0,0.0,1,8.0,0,8.0,2552130191.879584,8708230.617180387,342497569.4495729,1168650.3416168047,0.06746778065941401,0.1173055448672764,6.746778065941402,11.730554486727641,291.3390629999525,39.097896055887325,19.655999999999995,4.5863999999999985,Placer County,CA,"Placer County, CA"
06065,5,632.0,1215870480.0,3647611440.0,851109336.0,1,600.0,0,0.0,2,30.0,2,2.0,0,600.0,4778816338.134562,16305999.93763514,4431484163.088424,15120853.23520886,0.7632876390105978,0.19205965872319364,76.32876390105979,19.205965872319364,545.5269792391052,505.87718756717163,416.394,97.1586,Riverside County,CA,"Riverside County, CA"
06067,17,160.6,731674619.9999999,2195023860.0,512172233.99999994,0,0.0,0,0.0,7,126.7,10,33.9,0,127.60000000000001,5820841246.5405245,19861536.89265328,2199990006.2751412,7506678.299991673,0.3770973587889137,0.23280661845695005,37.70973587889137,23.280661845695004,664.4795943539411,251.14041167524442,250.5735,58.46715,Sacramento County,CA,"Sacramento County, CA"
06071,4,47.7,260621388.0,781864164.0,182434971.6,0,0.0,0,0.0,3,45.0,1,2.7,0,2.7,4869055869.192936,16613910.031619722,5538162069.745604,18896995.400985904,0.16057818702532098,0.03294142881744524,16.0578187025321,3.294142881744524,555.8282955699698,632.2102819344296,89.25389999999999,20.82591,San Bernardino County,CA,"San Bernardino County, CA"
06073,14,60.45,324107298.0,972321894.0,226875108.6,0,0.0,0,0.0,3,45.0,11,15.45,0,12.45,4621311302.825516,15768570.39144566,4937771483.468468,16848377.465145063,0.2103995663320739,0.045946862741536754,21.03995663320739,4.594686274153675,527.546952377342,563.6725437749393,110.99565,25.898985,San Diego County,CA,"San Diego County, CA"
06075,7,32.6,206686943.99999997,620060831.9999999,144680860.79999998,0,0.0,0,0.0,1,15.0,6,17.6,0,13.6,2834456745.064781,9671568.907018833,577601676.9739612,1970858.941273286,0.21875826225946815,0.25048552760092196,21.875826225946817,25.048552760092196,323.5681215827376,65.93626449474444,70.78319999999998,16.51608,San Francisco County,CA,"San Francisco County, CA"
06077,3,63.8,143788392.0,431365176.0,100651874.39999999,1,50.0,0,0.0,0,0.0,2,13.8,0,13.8,2469663930.914012,8426844.024556799,1226520726.311472,4185062.8841178785,0.174665536715497,0.08206292175974178,17.4665536715497,8.206292175974179,281.92510626872286,140.0137815424055,49.242599999999996,11.489939999999999,San Joaquin County,CA,"San Joaquin County, CA"
06079,4,60.0,321667200.0,965001600.0,225167040.0,0,0.0,0,0.0,4,60.0,0,0.0,0,0.0,639871760.9412267,2183333.310121519,247090367.81856707,843107.421829181,1.5081171867633598,0.9112740491986119,150.81171867633597,91.12740491986119,73.0447215686332,28.20666299298711,110.16,25.704,San Luis Obispo County,CA,"San Luis Obispo County, CA"
06081,8,99.3,407240136.0,1221720408.0,285068095.2,1,36.0,0,0.0,4,60.3,3,3.0,0,52.3,2373645492.3210764,8099215.477459422,381435875.0395358,1301513.3695291518,0.5147021372620125,0.7473552275869507,51.47021372620125,74.73552275869507,270.9640972969265,43.54290810953605,139.4658,32.54202,San Mateo County,CA,"San Mateo County, CA"
06083,3,45.0,241250400.0,723751200.0,168875280.0,0,0.0,0,0.0,3,45.0,0,0.0,0,0.0,961169902.2907658,3279648.192742218,280120998.3213172,955812.623454096,0.7529898702353003,0.6028654796035282,75.29898702353003,60.28654796035282,109.72259158570385,31.977282913392372,82.62,19.278,Santa Barbara County,CA,"Santa Barbara County, CA"
06085,127,2919.3,8380494900.0,25141484700.0,5866346430.0,30,2077.1,0,0.0,39,606.8,58,235.4,3,1981.3,4294459768.6903553,14653306.544058649,1295880290.6739902,4421727.56678093,5.854399867312574,4.526920018938555,200.0,200.0,490.235133412141,147.93154003127742,2870.0325,669.67425,Santa Clara County,CA,"Santa Clara County, CA"
06087,1,15.0,80416800.0,241250400.0,56291760.0,0,0.0,0,0.0,1,15.0,0,0.0,0,0.0,790273046.4410064,2696523.8532293085,93651288.72585803,319551.49561562674,0.30527474154214274,0.6010783275474275,30.527474154214275,60.10783275474275,90.21381808687288,10.69078638423037,27.54,6.426,Santa Cruz County,CA,"Santa Cruz County, CA"
06099,2,30.0,160833600.0,482500800.0,112583520.0,0,0.0,0,0.0,2,30.0,0,0.0,0,0.0,1867406287.6583245,6371855.42518305,1019783219.4837072,3479645.154095575,0.2583801945987033,0.1103994631888515,25.83801945987033,11.03994631888515,213.1742337509503,116.41360953010357,55.08,12.852,Stanislaus County,CA,"Stanislaus County, CA"
06113,2,16.0,87591240.0,262773720.0,61313868.0,0,0.0,0,0.0,1,15.0,1,1.0,0,0.0,861895233.2492343,2940908.924969509,317458081.7674885,1083212.0540382816,0.304878957282751,0.19314004437570842,30.4878957282751,19.31400443757084,98.38986680927333,36.23950705108316,29.997,6.9993,Yolo County,CA,"Yolo County, CA"
08001,9,255.85,758468394.0,2275405182.0,530927875.79999995,1,177.0,0,0.0,4,63.0,4,15.85,0,209.85,3514675251.5631824,11992571.0422193,325705052.01391995,1111351.8875888807,0.6474012587615297,1.6300879354407718,64.74012587615296,163.00879354407718,401.21863602319434,37.18094201072145,259.74945,60.60820499999999,Adams County,CO,"Adams County, CO"
08005,17,151.20000000000002,803095776.0,2409287328.0,562167043.1999999,0,0.0,0,0.0,7,125.6,10,25.6,0,121.2,4492096165.013302,15327669.992680818,538923910.7465181,1838884.910662446,0.5363392143660544,1.0431287830990563,53.63392143660543,104.31287830990563,512.7963658690984,61.52099437745641,275.0328,64.17432,Arapahoe County,CO,"Arapahoe County, CO"
